Gene,signalvalue
ANKHD1,128.2650936
ANKHD1-EIF4EBP3,128.2650936
DIAPH1,56.97431421
ARAP3,81.40042406
NR3C1,114.0979262
SH3RF2,116.1354882
RBM27,73.76380587
PPARGC1B,55.60614029
SLC36A1,132.9263218
GLRA1,62.69054695
GALNT10,105.3948539
SGCD,71.87574193
TIMD4,51.94367009
ITK,102.6956305
NIPAL4,68.2123524
RNF145,55.25600841
GABRB2,93.8311667
DOCK2,151.5728981
FBXW11,260.682416
UBTD2,60.05970572
NEURL1B,138.7429082
ERGIC1,132.329029
CNOT6,103.912928
EXOC3,51.18146695
UBE2QL1,86.89397932
PAPD7,116.1279708
MIR4278,83.29480048
MTRR,117.9364109
ZNF622,123.2573537
BASP1,92.5342482
IL7R,56.77268539
SLC1A3,107.9902737
HMGCS1,66.23955577
SLC38A9,102.6243339
IL6ST,107.5460409
PART1,96.28179851
ELOVL7,140.2285763
CTC-436P18.1,78.48279511
NLN,73.22859745
PIK3R1,74.77482173
ZNF366,185.5487248
ANKDD1B,62.9096732
JMY,149.1459249
MTX3,69.91142547
ERAP2,56.19791487
RIOK2,53.95824129
ST8SIA4,84.03431832
PJA2,60.75044614
TICAM2,101.5652361
ATG12,206.19643
HSD17B4,114.2664243
SLC12A2,111.5919029
RAD50,163.8290705
TH2LCRR,163.8290705
TCF7,160.5179215
SMAD5,52.38309852
LOC105379194,68.82539636
DNAJC18,76.61598919
UBE2D2,60.28814196
VTRNA1-1,200.4563911
VTRNA1-2,117.810423
TAF7,72.09948896
HDAC3,80.06027419
ANXA6,107.3870605
MIR1294,72.21509258
ADAM19,50.5526658
THG1L,54.03404396
CLINT1,76.6613657
LOC285627,287.5894165
LINC01366,72.91683937
RGS14,118.9116729
PLEKHG1,69.45875287
GMDS,251.5647597
KIF13A,107.5990884
CDKAL1,144.8480472
CASC15,103.6209956
C6orf106,141.3185114
RAB44,109.4450442
DNAH8,55.46386431
SUPT3H,54.6626563
TRAM2,80.69740892
DST,98.96454823
EYS,153.6787366
KCNQ5,139.2469828
CD109,89.06957421
MYO6,78.14527323
PHIP,66.54209944
KLHL32,52.91995961
SLC35F1,84.89072398
MAN1A1,52.55195627
NKAIN2,74.87502537
ARHGAP18,85.11649221
HECA,73.98677266
AIG1,53.48706321
UTRN,85.87359188
ESR1,72.65162018
ARID1B,123.2462405
IGF2R,113.7125061
MAP3K4,55.28196203
PARK2,55.23517117
PACRG,82.8173929
EXOC2,131.9252128
SLC22A23,57.4315271
CDYL,71.8081674
FARS2,77.75797511
LY86-AS1,58.26544244
RREB1,123.7768543
BLOC1S5-TXNDC5,118.6686732
GCNT2,56.39304957
NEDD9,75.55690661
HIVEP1,108.173667
GFOD1,65.79129153
JARID2,234.5679059
ATXN1,201.574397
MBOAT1,82.14609388
FAM65B,95.48897349
CARMIL1,52.95527843
SLC17A1,118.3489351
ANKS1A,130.9332959
PPARD,69.74243461
SLC26A8,64.22399877
MAPK14,72.21407531
ZFAND3,85.575306
BTBD9,182.1237351
KIF6,51.95859371
TFEB,117.1638854
TRERF1,286.9868303
GLTSCR1L,80.61519172
XPO5,166.5664784
RUNX2,50.62037349
CLIC5,80.53987501
CD2AP,148.1096937
PTCHD4,54.04585336
EFHC1,55.51542431
FAM83B,101.3481898
BMP5,175.0042868
BEND6,69.73505373
LOC101928280,62.33323998
ADGRB3,68.99437998
COL19A1,79.24482732
LOC101928516,109.7978646
IMPG1,59.20558276
BCKDHB,89.30947195
ME1,83.25623058
SNAP91,89.82616756
ZNF292,77.99173008
LOC101928911,55.67199013
CNR1,65.44704147
RNGTT,128.9665551
UBE2J1,50.87349507
CASP8AP2,88.50738539
BACH2,102.969188
LOC101927314,96.9539584
GRIK2,51.28263996
LACE1,163.918878
FOXO3,292.6623806
ARMC2,140.6577901
SESN1,51.61808025
WASF1,156.2304036
CDK19,98.88076654
REV3L,116.9128704
FYN,115.016961
CEP85L,91.85804708
MCM9,194.8037991
FAM184A,68.60886691
LOC285762,101.7333907
NCOA7,186.3466096
LAMA2,173.3154017
L3MBTL3,55.4999412
SAMD3,59.45009074
ENPP3,197.1269931
MOXD1,169.6978993
TARID,54.59407099
SGK1,168.0937791
MYB,73.65286089
AHI1,224.3098929
IL22RA2,100.379574
NHSL1,77.91042944
ECT2L,108.3048551
TXLNB,87.46873916
LOC153910,52.16815501
HIVEP2,148.7549418
UST,128.7709445
PPP1R14C,65.16238239
MTHFD1L,56.45870144
SYNE1,95.08366556
RGS17,85.17647846
IPCEF1,122.6736861
SCAF8,268.1479916
TIAM2,120.1744798
ZDHHC14,82.39303731
TULP4,129.645577
SYTL3,210.8306655
AGPAT4,101.1292002
AFDN,60.24696384
LOC285766,120.4255802
DUSP22,166.7280504
SERPINB9P1,76.18091524
LOC101927730,184.668525
SERPINB9,184.668525
LY86,193.3278136
BLOC1S5,72.60781368
EEF1E1-BLOC1S5,72.60781368
ADTRP,84.05532631
TBC1D7-LOC100130357,83.597564
CD83,171.8087124
DEK,60.99860946
RNF144B,58.76913025
HIST1H1E,52.54194405
BTN3A3,105.125695
HIST1H3I,50.01253097
HCG27,86.39395493
TNF,56.92045059
